mode,d_model,seq,fwd_ms,bwd_ms,mem_before_bwd_mb,peak_mb
eager,16,256,0.13498368263244628,0.5994700527191162,18.62548828125,24.7509765625
compiled,16,256,0.22041599273681642,0.5525197219848632,18.62548828125,20.8759765625
eager,16,1024,0.39779327392578123,0.8410931396484376,49.75048828125,146.2509765625
compiled,16,1024,0.3198873519897461,0.6962483596801758,50.75048828125,83.7509765625
eager,16,4096,4.223385620117187,10.324131469726563,534.25048828125,2072.2509765625
compiled,16,4096,3.5207473754882814,8.57738250732422,538.25048828125,1054.2509765625
eager,16,8192,15.25712890625,37.127280273437506,2076.25048828125,8224.2509765625
compiled,16,8192,14.107197265625,31.8123193359375,2084.25048828125,4140.2509765625
eager,16,16384,62.0117822265625,152.2099365234375,8232.25048828125,32816.2509765625
compiled,16,16384,57.1908935546875,119.2314111328125,8248.25048828125,16456.2509765625
eager,32,256,0.12145664215087891,0.5391154861450195,19.00048828125,25.2509765625
compiled,32,256,0.2978099250793457,0.5689446067810058,19.00048828125,21.5009765625
eager,32,1024,0.3466751861572266,0.8686182403564453,51.25048828125,148.2509765625
compiled,32,1024,0.34453502655029294,0.7133798599243164,51.25048828125,85.2509765625
eager,32,4096,4.453580932617188,10.573014526367187,540.25048828125,2080.2509765625
compiled,32,4096,4.503930969238281,9.417635192871094,540.25048828125,1060.2509765625
eager,32,8192,16.164239501953126,38.13014526367187,2088.25048828125,8240.2509765625
compiled,32,8192,16.44843994140625,32.890705566406254,2088.25048828125,4152.2509765625
eager,32,16384,65.5612939453125,155.7561669921875,8256.25048828125,32848.2509765625
compiled,32,16384,59.6079931640625,120.26958496093752,8256.25048828125,16480.2509765625
eager,64,256,0.11986944198608399,0.5370572853088379,19.75048828125,26.2509765625
compiled,64,256,0.29609983444213867,0.6133043098449706,19.75048828125,22.7509765625
eager,64,1024,0.3821465682983398,0.9096498489379883,54.25048828125,152.2509765625
compiled,64,1024,0.39654399871826174,0.7948595046997071,54.25048828125,90.2509765625
eager,64,4096,4.903782348632813,11.048345336914062,552.25048828125,2096.2509765625
compiled,64,4096,4.142622680664062,9.052323608398439,552.25048828125,1080.2509765625
eager,64,8192,17.992806396484376,39.973756103515626,2112.25048828125,8272.2509765625
compiled,64,8192,15.13407470703125,31.51363037109375,2112.25048828125,4192.2509765625
eager,64,16384,72.76412109375,163.05832031249997,8304.25048828125,32912.2509765625
compiled,64,16384,66.82416015625,129.46533203125,8304.25048828125,16560.2509765625
eager,128,256,0.11973631858825684,0.5379993534088134,21.25048828125,28.2509765625
compiled,128,256,0.29730815887451173,0.5810585403442383,21.25048828125,25.2509765625
eager,128,1024,0.4411494445800781,0.979456024169922,60.25048828125,160.2509765625
compiled,128,1024,0.4554751968383789,0.863610954284668,60.25048828125,100.2509765625
eager,128,4096,5.769502563476562,11.960360717773439,576.25048828125,2128.2509765625
compiled,128,4096,5.000755310058594,9.964861145019531,576.25048828125,1120.2509765625
eager,128,8192,21.4394970703125,43.467182617187504,2160.25048828125,8336.2509765625
compiled,128,8192,18.582271728515625,35.06791381835937,2160.25048828125,4272.2509765625
eager,128,16384,86.555400390625,176.95616210937504,8400.25048828125,33040.2509765625
compiled,128,16384,80.5664892578125,143.32999511718748,8400.25048828125,16720.2509765625
