dtype,d,seq_len,impl,fwd_ms,bwd_ms,e2e_ms
float32,16,128,pytorch,0.12465907633304596,0.5204430669546127,0.6451021432876587
float32,16,128,triton_flash,0.01187089178711176,0.6185732772573829,0.6304441690444946
float32,16,256,pytorch,0.11905621737241745,0.5208603218197823,0.6399165391921997
float32,16,256,triton_flash,0.01621900126338005,0.6140681095421314,0.6302871108055115
float32,16,512,pytorch,0.1308063417673111,0.5299631208181381,0.6607694625854492
float32,16,512,triton_flash,0.02488689310848713,0.6082778703421354,0.6331647634506226
float32,16,1024,pytorch,0.13858072459697723,0.5407632142305374,0.6793439388275146
float32,16,1024,triton_flash,0.0437011681497097,0.6018016971647739,0.6455028653144836
float32,16,2048,pytorch,0.17344558238983154,0.4973258972167969,0.6707714796066284
float32,16,2048,triton_flash,0.08229740709066391,0.5784110799431801,0.660708487033844
float32,16,4096,pytorch,0.5376604795455933,0.8414074182510376,1.3790678977966309
float32,16,4096,triton_flash,0.1530105173587799,0.5653564035892487,0.7183669209480286
float32,16,8192,pytorch,1.924333095550537,3.206986427307129,5.131319522857666
float32,16,8192,triton_flash,0.31498947739601135,2.016775220632553,2.3317646980285645
float32,16,16384,pytorch,7.583169937133789,12.579959869384766,20.163129806518555
float32,16,16384,triton_flash,0.6879677176475525,8.019616663455963,8.707584381103516
float32,16,32768,pytorch,35.15679168701172,50.200782775878906,85.35757446289062
float32,16,32768,triton_flash,1.959969162940979,31.643615126609802,33.60358428955078
float32,16,65536,pytorch,,,
float32,16,65536,triton_flash,7.498465061187744,,
float32,32,128,pytorch,0.12362661212682724,0.5246296301484108,0.648256242275238
float32,32,128,triton_flash,0.012916319072246552,0.6020736172795296,0.6149899363517761
float32,32,256,pytorch,0.12605075538158417,0.5191686302423477,0.6452193856239319
float32,32,256,triton_flash,0.01763702742755413,0.6070405710488558,0.6246775984764099
float32,32,512,pytorch,0.1342126876115799,0.5378362387418747,0.6720489263534546
float32,32,512,triton_flash,0.028019318357110023,0.611276438459754,0.639295756816864
float32,32,1024,pytorch,0.13301046192646027,0.534347340464592,0.6673578023910522
float32,32,1024,triton_flash,0.047974180430173874,0.5937763340771198,0.6417505145072937
float32,32,2048,pytorch,0.17799162864685059,0.49950695037841797,0.6774985790252686
float32,32,2048,triton_flash,0.08926910161972046,0.5637074112892151,0.6529765129089355
float32,32,4096,pytorch,0.5586839318275452,0.8496330380439758,1.408316969871521
float32,32,4096,triton_flash,0.17790304124355316,0.6057605296373367,0.7836635708808899
float32,32,8192,pytorch,2.025404453277588,3.181220054626465,5.206624507904053
float32,32,8192,triton_flash,0.34378400444984436,2.1998461186885834,2.5436301231384277
float32,32,16384,pytorch,7.915563106536865,13.130709171295166,21.04627227783203
float32,32,16384,triton_flash,0.8448686003684998,8.676181852817535,9.521050453186035
float32,32,32768,pytorch,36.462181091308594,51.96021270751953,88.42239379882812
